Dim,Runtime,Heap,Stack,Code,CodeLines
32,4.0,4264,15959,3154,2797
33,14.5,4392,16319,3130,2709
34,13.6,4392,16319,3130,2709
35,13.5,4392,12287,3130,2709
36,14.2,4392,12287,3130,2709
37,14.1,4392,16921,3130,2709
38,13.3,4392,14335,3130,2709
39,13.2,4392,16303,3130,2709
40,13.6,4392,16277,3130,2709
41,13.5,4392,13965,3130,2709
42,14.4,4392,15823,3130,2709
43,13.7,4392,16375,3130,2709
44,13.5,4392,17045,3130,2709
45,13.9,4392,14847,3130,2709
46,13.9,4392,12287,3130,2709
47,14.1,4392,14331,3130,2709
48,13.7,4392,12287,3130,2709
49,14.7,4392,18563,3130,2709
50,13.5,4392,16303,3130,2709
51,14.3,4392,12287,3130,2709
52,13.3,4392,15349,3130,2709
53,13.8,4392,16367,3130,2709
54,13.8,4392,14127,3130,2709
55,13.5,4392,15295,3130,2709
56,13.5,4392,12287,3130,2709
57,13.7,4392,12287,3130,2709
58,13.4,4392,12287,3130,2709
59,14.4,4392,12287,3130,2709
60,13.7,4392,14319,3130,2709
61,13.4,4392,15259,3130,2709
62,13.3,4392,15835,3130,2709
63,13.5,4392,16301,3130,2709
64,13.6,4392,15675,3130,2709
65,42.1,5864,14333,4027,3218
66,41.4,5864,16897,4027,3218
67,42.1,5864,15871,4027,3218
68,44.9,5864,18705,4027,3218
69,41.3,5864,16801,4027,3218
70,42.0,5864,16319,4027,3218
71,41.2,5864,15807,4027,3218
72,41.4,5864,16187,4027,3218
73,41.3,5864,12791,4027,3218
74,41.5,5864,16903,4027,3218
75,41.3,5864,16533,4027,3218
76,42.0,5864,12287,4027,3218
77,41.0,5864,12287,4027,3218
78,41.5,5864,16515,4027,3218
79,41.4,5864,16383,4027,3218
80,41.3,5864,12287,4027,3218
81,41.0,5864,19459,4027,3218
82,42.3,5864,15615,4027,3218
83,42.4,5864,16513,4027,3218
84,42.4,5864,15727,4027,3218
85,42.3,5864,14911,4027,3218
86,42.4,5864,16127,4027,3218
87,41.4,5864,16383,4027,3218
88,43.2,5864,15551,4027,3218
89,42.5,5864,16381,4027,3218
90,42.2,5864,14239,4027,3218
91,41.4,5864,14935,4027,3218
92,41.0,5864,16373,4027,3218
93,41.7,5864,14845,4027,3218
94,41.1,5864,16315,4027,3218
95,42.2,5864,18071,4027,3218
96,41.0,5864,16367,4027,3218
97,42.9,5864,18445,4027,3218
98,42.6,5864,13053,4027,3218
99,41.2,5864,13485,4027,3218
100,41.3,5864,16317,4027,3218
101,43.0,5864,18531,4027,3218
102,41.2,5864,12287,4027,3218
103,43.1,5864,16469,4027,3218
104,45.7,5864,12287,4027,3218
105,44.6,5864,16641,4027,3218
106,41.9,5864,16421,4027,3218
107,41.2,5864,17409,4027,3218
108,41.3,5864,15853,4027,3218
109,41.6,5864,12767,4027,3218
110,42.1,5864,16375,4027,3218
111,44.1,5864,16127,4027,3218
112,42.0,5864,16965,4027,3218
113,41.0,5864,12287,4027,3218
114,41.4,5864,16395,4027,3218
115,43.9,5864,13823,4027,3218
116,41.4,5864,14335,4027,3218
117,41.4,5864,12287,4027,3218
118,41.9,5864,16455,4027,3218
119,41.7,5864,13949,4027,3218
120,41.3,5864,16093,4027,3218
121,41.8,5864,14315,4027,3218
122,42.7,5864,16383,4027,3218
123,41.4,5864,16529,4027,3218
124,42.3,5864,12287,4027,3218
125,42.0,5864,12287,4027,3218
126,41.1,5864,12287,4027,3218
