Dim,Runtime,Heap,Stack,Code,CodeLines
32,3.5,4264,16159,1474,1149
33,13.4,4392,12287,1434,1045
34,13.6,4392,15293,1434,1045
35,13.3,4392,15837,1434,1045
36,13.2,4392,16381,1434,1045
37,13.3,4392,16417,1434,1045
38,13.6,4392,13295,1434,1045
39,14.8,4392,14311,1434,1045
40,13.5,4392,17409,1434,1045
41,13.4,4392,16383,1434,1045
42,13.4,4392,12287,1434,1045
43,13.3,4392,14303,1434,1045
44,13.4,4392,16191,1434,1045
45,13.2,4392,15095,1434,1045
46,13.5,4392,17541,1434,1045
47,13.4,4392,12287,1434,1045
48,13.5,4392,16657,1434,1045
49,13.4,4392,15583,1434,1045
50,13.3,4392,13183,1434,1045
51,13.3,4392,16401,1434,1045
52,14.3,4392,16255,1434,1045
53,13.4,4392,16095,1434,1045
54,13.5,4392,13311,1434,1045
55,13.6,4392,17537,1434,1045
56,14.4,4392,13279,1434,1045
57,13.4,4392,17569,1434,1045
58,13.5,4392,14271,1434,1045
59,14.2,4392,15287,1434,1045
60,14.4,4392,17413,1434,1045
61,14.4,4392,16311,1434,1045
62,13.3,4392,16433,1434,1045
63,14.1,4392,13915,1434,1045
64,13.6,4392,16383,1434,1045
65,80.0,5160,12287,1837,1064
66,79.0,5160,12287,1837,1064
67,82.2,5160,17921,1837,1064
68,79.8,5160,16451,1837,1064
69,80.4,5160,15847,1837,1064
70,81.1,5160,16079,1837,1064
71,81.8,5160,12287,1837,1064
72,80.0,5160,15855,1837,1064
73,83.3,5160,16377,1837,1064
74,80.1,5160,14815,1837,1064
75,79.5,5160,15975,1837,1064
76,79.4,5160,12287,1837,1064
77,80.3,5160,13307,1837,1064
78,79.4,5160,14315,1837,1064
79,81.3,5160,17665,1837,1064
80,81.6,5160,16937,1837,1064
81,79.4,5160,15357,1837,1064
82,80.1,5160,13197,1837,1064
83,81.8,5160,16311,1837,1064
84,82.0,5160,15279,1837,1064
85,80.3,5160,13939,1837,1064
86,79.9,5160,16961,1837,1064
87,79.0,5160,16579,1837,1064
88,79.2,5160,15231,1837,1064
89,80.2,5160,12287,1837,1064
90,81.0,5160,15997,1837,1064
91,86.5,5160,18245,1837,1064
92,81.0,5160,14303,1837,1064
93,80.2,5160,16319,1837,1064
94,79.9,5160,16239,1837,1064
95,79.1,5160,16313,1837,1064
96,80.0,5160,16255,1837,1064
97,84.8,5160,12287,1837,1064
98,79.3,5160,16379,1837,1064
99,81.3,5160,14257,1837,1064
100,80.2,5160,14317,1837,1064
101,80.7,5160,13215,1837,1064
102,79.4,5160,12287,1837,1064
103,83.1,5160,14331,1837,1064
104,80.2,5160,14891,1837,1064
105,79.8,5160,16375,1837,1064
106,79.1,5160,16303,1837,1064
107,82.0,5160,15835,1837,1064
108,79.2,5160,16189,1837,1064
109,83.0,5160,16383,1837,1064
110,81.9,5160,17721,1837,1064
111,79.6,5160,15999,1837,1064
112,79.1,5160,14233,1837,1064
113,87.3,5160,12287,1837,1064
114,81.0,5160,17027,1837,1064
115,79.0,5160,12287,1837,1064
116,80.3,5160,19011,1837,1064
117,79.6,5160,12287,1837,1064
118,84.0,5160,16965,1837,1064
119,79.2,5160,12287,1837,1064
120,79.3,5160,18443,1837,1064
121,80.1,5160,16315,1837,1064
122,80.0,5160,15197,1837,1064
123,80.1,5160,12287,1837,1064
124,81.3,5160,17003,1837,1064
125,80.9,5160,16397,1837,1064
126,80.0,5160,12287,1837,1064
127,79.3,5160,17923,1837,1064
128,79.3,5160,12287,1837,1064
129,403.8,6184,12287,3768,2411
130,405.6,6184,18995,3768,2411
131,406.0,6184,15847,3768,2411
132,400.2,6184,15295,3768,2411
133,400.6,6184,18465,3768,2411
134,399.8,6184,13305,3768,2411
135,404.6,6184,13173,3768,2411
136,401.9,6184,16657,3768,2411
137,404.6,6184,15103,3768,2411
138,401.7,6184,12287,3768,2411
139,402.4,6184,15597,3768,2411
140,398.0,6184,16319,3768,2411
141,403.6,6184,16059,3768,2411
142,401.9,6184,16031,3768,2411
143,400.9,6184,16375,3768,2411
144,400.0,6184,15903,3768,2411
145,402.4,6184,12287,3768,2411
146,398.7,6184,15359,3768,2411
147,404.7,6184,12287,3768,2411
148,400.4,6184,14313,3768,2411
149,399.4,6184,15997,3768,2411
150,399.7,6184,14335,3768,2411
151,396.7,6184,12287,3768,2411
152,402.1,6184,17185,3768,2411
153,398.0,6184,16553,3768,2411
154,405.2,6184,19075,3768,2411
155,404.8,6184,16387,3768,2411
