Dim,Runtime,Heap,Stack,Code,CodeLines
220,514.3,32824,16777215,2121,980
221,1068.0,32824,16777215,2123,980
222,483.6,32824,14275,2157,1012
223,479.4,32824,16777215,2159,1012
224,573.0,32824,16777215,2089,948
225,475.3,32824,16777215,2195,1012
226,1861.5,32824,16777215,2197,1012
227,2128.9,32824,16777215,2183,996
228,677.5,32824,16777215,2169,980
229,484.7,32824,16777215,2203,1012
230,518.1,32824,16777215,2173,980
231,481.5,32824,16777215,2175,980
232,493.6,32824,16777215,2177,980
233,566.5,32824,16777215,2179,980
234,553.6,32824,15341,2181,980
235,655.0,32824,16777215,2183,980
236,861.9,32824,16777215,2185,980
237,477.3,32824,16777215,2219,1012
238,523.7,32824,16777215,2189,980
239,3355.5,32824,16777215,2191,980
240,1374.3,32824,12287,2169,964
241,487.5,32824,16777215,2259,1012
242,1055.9,32824,16777215,2229,980
243,1096.0,32824,16777215,2231,980
244,488.3,32824,16777215,2233,980
245,625.9,32824,16777215,2235,980
246,508.9,32824,16777215,2237,980
247,484.8,32824,16777215,2215,964
248,546.3,32824,16777215,2217,964
249,553.1,32824,16777215,2243,980
250,514.0,32824,16777215,2245,980
251,494.9,32824,16777215,2207,948
252,972.8,32824,16777215,2193,932
253,621.0,32824,16777215,2211,948
254,629.3,32824,16777215,2197,932
255,502.2,32824,16527,2215,948
