Dim,Runtime,Heap,Stack,Code,CodeLines
32,5.2,4288,15723,1645,1299
33,4.6,4352,13003,1898,1522
34,4.1,4352,16083,1917,1539
35,4.0,4352,16211,1917,1539
36,5.9,4352,14161,1922,1541
37,6.6,4352,16449,1869,1484
38,6.4,4352,14123,1869,1484
39,6.8,4352,16435,1869,1484
40,6.8,4352,15823,1869,1484
41,6.2,4352,14237,1942,1556
42,6.3,4352,15707,1942,1556
43,7.0,4352,16359,1904,1516
44,7.0,4352,14183,1904,1516
45,6.0,4352,14079,2008,1619
46,9.0,4352,14045,1811,1417
47,9.1,4352,16545,1811,1417
48,9.1,4352,19851,1811,1417
49,5.7,4416,18471,1987,1595
50,6.5,4416,16347,1881,1487
51,8.4,4416,12287,1925,1526
52,9.3,4416,16127,1925,1526
53,8.3,4416,16393,1925,1526
54,8.3,4416,17929,1925,1526
55,7.4,4624,16253,2198,1679
56,9.3,4416,12287,1911,1510
57,9.6,4416,12287,1987,1582
58,9.5,4416,16723,1987,1582
59,9.6,4416,12287,1987,1582
60,9.9,4416,14143,1987,1582
61,9.4,4416,12287,2140,1733
62,9.4,4416,16387,2140,1733
63,8.9,4416,16379,2140,1733
64,11.6,4416,14331,1796,1385
65,10.2,4480,12287,2001,1559
66,10.3,4480,14713,2001,1559
67,9.9,4480,16661,2069,1623
68,9.8,4480,14543,2069,1623
69,9.9,4480,16311,2069,1623
70,9.6,4480,16355,2069,1623
71,15.1,4736,16441,2250,1659
72,16.7,4736,16127,2250,1659
73,9.8,4480,13051,2042,1591
74,9.9,4480,12287,2042,1591
75,10.0,4480,12287,2042,1591
76,10.7,4816,16301,2360,1765
77,10.6,4816,17929,2360,1765
78,15.0,4480,12287,1998,1540
79,15.1,4480,14991,1998,1540
80,19.1,4480,16385,1998,1540
81,12.9,4544,12287,2009,1551
82,14.2,4864,13999,2386,1741
83,14.0,4864,15535,2386,1741
84,14.1,4864,14333,2386,1741
85,16.3,4864,15579,2394,1741
86,16.1,4864,16409,2394,1741
87,16.4,4864,13275,2394,1741
88,16.4,4864,14221,2394,1741
89,14.0,4544,19457,2084,1617
90,14.1,4544,16787,2084,1617
91,20.2,4544,12287,2050,1575
92,20.9,4544,12287,2050,1575
93,20.2,4544,16119,2050,1575
94,21.1,4544,18593,2050,1575
95,20.1,4544,16405,2050,1575
96,20.0,4544,16319,2050,1575
97,14.3,4608,12287,2113,1607
98,14.4,4608,15101,2113,1607
99,15.4,4608,16965,2130,1623
100,17.1,4992,16471,2498,1789
101,14.6,4608,12287,2151,1638
102,14.5,4608,17249,2151,1638
103,14.5,4608,12287,2151,1638
104,14.5,4608,14187,2151,1638
105,14.5,4608,16095,2151,1638
106,20.6,5056,18465,2554,1827
107,21.6,5056,15103,2554,1827
108,19.8,5056,12287,2554,1827
