Dim,Runtime,Heap,Stack,Code,CodeLines
32,443.0,32824,16381,3631,3114
33,451.4,32824,15679,3663,3082
34,930.3,32824,19201,3663,3082
35,763.0,32824,13815,3663,3082
36,1101.3,32824,16417,3663,3082
37,934.3,32824,17409,3663,3082
38,566.3,32824,16385,3663,3082
39,1226.5,32824,15081,3663,3082
40,661.7,32824,16963,3663,3082
41,918.6,32824,12287,3663,3082
42,1610.7,32824,12287,3663,3082
43,456.1,32824,15327,3663,3082
44,2567.4,32824,16705,3663,3082
45,617.0,32824,13967,3663,3082
46,433.5,32824,13819,3663,3082
47,2210.2,32824,15963,3663,3082
48,435.1,32824,16477,3663,3082
49,504.1,32824,12287,3663,3082
50,509.0,32824,16425,3663,3082
51,426.6,32824,12287,3663,3082
52,451.4,32824,16127,3663,3082
53,1405.7,32824,16643,3663,3082
54,606.2,32824,14835,3663,3082
55,695.6,32824,16351,3663,3082
56,632.4,32824,12287,3663,3082
57,492.9,32824,16235,3663,3082
58,981.8,32824,13543,3663,3082
59,1008.3,32824,16427,3663,3082
60,764.3,32824,15343,3663,3082
61,432.5,32824,16331,3663,3082
62,420.4,32824,16327,3663,3082
63,708.1,32824,14333,3663,3082
64,590.7,32824,19211,3663,3082
65,823.2,32824,12287,4113,3156
66,638.1,32824,16275,4113,3156
67,654.8,32824,16383,4113,3156
68,956.7,32824,16393,4113,3156
69,4014.5,32824,16385,4113,3156
70,457.3,32824,15871,4113,3156
71,457.4,32824,13687,4113,3156
72,748.5,32824,13951,4113,3156
73,635.2,32824,16207,4113,3156
74,460.0,32824,13563,4113,3156
75,1412.7,32824,16383,4113,3156
76,854.2,32824,12287,4113,3156
77,774.8,32824,16385,4113,3156
78,2801.2,32824,12287,4113,3156
79,1025.5,32824,16319,4113,3156
80,1144.3,32824,15487,4113,3156
81,760.5,32824,18433,4113,3156
82,543.2,32824,16019,4113,3156
83,1622.1,32824,15647,4113,3156
84,510.5,32824,12287,4113,3156
85,815.8,32824,12287,4113,3156
86,550.9,32824,16313,4113,3156
87,4754.5,32824,16649,4113,3156
88,788.5,32824,12287,4113,3156
89,453.7,32824,16383,4113,3156
90,631.5,32824,16219,4113,3156
91,455.6,32824,14015,4113,3156
92,467.8,32824,15351,4113,3156
93,1444.0,32824,18465,4113,3156
94,719.5,32824,12287,4113,3156
95,870.9,32824,16369,4113,3156
96,466.0,32824,15309,4113,3156
97,1878.2,32824,15087,4113,3156
98,481.4,32824,16335,4113,3156
99,1844.8,32824,16351,4113,3156
100,4372.1,32824,16359,4113,3156
101,455.7,32824,16311,4113,3156
102,527.0,32824,17157,4113,3156
103,1822.2,32824,14267,4113,3156
104,1825.9,32824,17953,4113,3156
105,578.7,32824,15303,4113,3156
106,516.1,32824,16167,4113,3156
107,1089.0,32824,16645,4113,3156
108,1380.6,32824,15727,4113,3156
109,457.0,32824,17939,4113,3156
110,696.6,32824,14077,4113,3156
111,3260.3,32824,14207,4113,3156
112,516.6,32824,18505,4113,3156
113,514.2,32824,12287,4113,3156
114,518.4,32824,18565,4113,3156
115,518.3,32824,16963,4113,3156
116,671.0,32824,12287,4113,3156
117,1585.0,32824,13175,4113,3156
118,1619.1,32824,16389,4113,3156
119,493.8,32824,12287,4113,3156
120,466.3,32824,16557,4113,3156
121,468.5,32824,12287,4113,3156
