Dim,Runtime,Heap,Stack,Code,CodeLines
32,8.4,4264,14301,860,635
33,33.4,4392,12287,936,711
34,33.8,4392,12287,936,711
35,35.2,4392,16677,936,711
36,34.0,4392,15229,936,711
37,33.2,4392,12287,936,711
38,34.1,4392,12287,936,711
39,33.4,4392,12287,936,711
40,35.2,4392,12287,936,711
41,33.6,4392,16127,936,711
42,33.3,4392,14375,936,711
43,33.2,4392,20227,936,711
44,33.2,4392,12287,936,711
45,35.1,4392,12287,936,711
46,33.3,4392,16393,936,711
47,33.1,4392,16643,936,711
48,34.3,4392,19521,936,711
49,34.3,4392,17925,936,711
50,41.3,4392,14719,936,711
51,34.3,4392,12287,936,711
52,33.2,4392,13951,936,711
53,33.6,4392,16387,936,711
54,35.2,4392,17153,936,711
55,33.9,4392,15469,936,711
56,33.4,4392,15295,936,711
57,33.3,4392,12287,936,711
58,35.7,4392,12287,936,711
59,34.3,4392,16327,936,711
60,34.1,4392,12287,936,711
61,33.4,4392,13781,936,711
62,33.8,4392,16303,936,711
63,33.4,4392,16673,936,711
64,33.4,4392,16357,936,711
65,129.9,5160,16115,922,713
66,131.7,5160,16375,922,713
67,129.9,5160,16317,922,713
68,130.6,5160,16079,922,713
69,132.7,5160,14077,922,713
70,134.5,5160,16373,922,713
71,131.5,5160,16485,922,713
72,135.3,5160,14269,922,713
73,133.8,5160,15349,922,713
74,131.4,5160,15063,922,713
75,130.0,5160,16381,922,713
76,130.9,5160,16439,922,713
77,132.0,5160,16383,922,713
78,130.7,5160,16339,922,713
79,130.0,5160,15261,922,713
80,133.5,5160,15743,922,713
81,129.9,5160,15355,922,713
82,134.4,5160,16383,922,713
83,133.4,5160,17289,922,713
84,130.7,5160,13695,922,713
85,130.1,5160,16351,922,713
86,134.8,5160,16371,922,713
87,133.6,5160,16905,922,713
88,129.9,5160,16375,922,713
89,131.4,5160,12287,922,713
90,132.3,5160,12287,922,713
91,137.5,5160,12287,922,713
92,130.0,5160,12287,922,713
93,135.3,5160,15099,922,713
94,134.5,5160,16319,922,713
95,131.0,5160,16335,922,713
96,130.9,5160,16339,922,713
97,142.6,5160,16517,922,713
98,133.8,5160,16191,922,713
99,130.6,5160,15183,922,713
100,130.1,5160,12287,922,713
101,133.9,5160,12893,922,713
102,130.9,5160,17185,922,713
103,131.5,5160,15227,922,713
104,131.5,5160,14079,922,713
105,132.4,5160,15795,922,713
106,131.7,5160,16849,922,713
107,130.8,5160,14687,922,713
108,131.0,5160,15359,922,713
109,131.0,5160,16331,922,713
110,130.7,5160,12287,922,713
111,134.0,5160,16453,922,713
112,129.9,5160,14927,922,713
113,131.7,5160,12287,922,713
114,131.5,5160,16383,922,713
115,131.9,5160,15703,922,713
116,140.6,5160,13279,922,713
117,129.9,5160,15535,922,713
118,130.6,5160,13823,922,713
119,130.5,5160,16159,922,713
120,130.7,5160,18453,922,713
121,130.7,5160,16239,922,713
122,131.0,5160,16379,922,713
123,130.7,5160,12511,922,713
124,130.0,5160,12287,922,713
125,133.8,5160,16379,922,713
126,129.8,5160,18245,922,713
127,134.7,5160,16389,922,713
128,133.2,5160,16127,922,713
129,547.0,6184,15359,2036,1779
130,545.8,6184,15999,2036,1779
131,543.1,6184,16481,2036,1779
132,543.1,6184,13305,2036,1779
133,554.0,6184,14303,2036,1779
134,545.7,6184,16565,2036,1779
135,545.4,6184,15423,2036,1779
136,546.9,6184,15899,2036,1779
137,549.6,6184,12287,2036,1779
138,545.1,6184,12287,2036,1779
139,543.4,6184,16881,2036,1779
140,545.6,6184,12287,2036,1779
141,546.5,6184,14847,2036,1779
142,547.3,6184,16413,2036,1779
143,546.3,6184,13311,2036,1779
144,544.2,6184,16379,2036,1779
145,544.2,6184,12287,2036,1779
146,547.8,6184,16371,2036,1779
147,547.2,6184,15347,2036,1779
148,551.5,6184,16381,2036,1779
149,544.2,6184,14955,2036,1779
150,542.1,6184,16213,2036,1779
151,555.4,6184,13177,2036,1779
152,542.7,6184,15359,2036,1779
153,542.3,6184,13429,2036,1779
154,549.1,6184,16383,2036,1779
155,550.1,6184,16189,2036,1779
156,544.0,6184,12287,2036,1779
157,544.9,6184,12287,2036,1779
158,547.2,6184,16315,2036,1779
159,550.1,6184,18475,2036,1779
160,548.7,6184,14087,2036,1779
161,544.5,6184,16013,2036,1779
162,542.2,6184,15815,2036,1779
163,549.8,6184,12287,2036,1779
164,547.8,6184,12287,2036,1779
165,544.0,6184,16899,2036,1779
166,546.2,6184,12287,2036,1779
167,542.8,6184,19489,2036,1779
168,542.6,6184,12287,2036,1779
169,551.4,6184,16905,2036,1779
170,543.5,6184,16369,2036,1779
171,545.0,6184,15247,2036,1779
172,549.8,6184,12287,2036,1779
173,548.6,6184,17409,2036,1779
174,547.4,6184,15039,2036,1779
175,552.2,6184,16961,2036,1779
176,543.0,6184,16901,2036,1779
177,546.0,6184,15871,2036,1779
178,551.5,6184,16125,2036,1779
179,542.5,6184,18481,2036,1779
180,543.1,6184,16897,2036,1779
181,545.0,6184,16459,2036,1779
182,551.3,6184,16573,2036,1779
183,549.0,6184,15485,2036,1779
184,547.3,6184,16385,2036,1779
185,549.5,6184,15475,2036,1779
186,543.0,6184,12287,2036,1779
187,545.4,6184,16385,2036,1779
188,548.2,6184,16921,2036,1779
189,551.4,6184,14049,2036,1779
190,542.7,6184,12287,2036,1779
191,548.8,6184,16403,2036,1779
192,544.5,6184,15295,2036,1779
193,546.3,6184,17667,2036,1779
194,547.4,6184,19009,2036,1779
195,544.9,6184,16377,2036,1779
196,542.8,6184,16311,2036,1779
197,549.6,6184,12287,2036,1779
198,551.7,6184,18449,2036,1779
199,549.6,6184,15997,2036,1779
200,547.2,6184,13167,2036,1779
201,547.1,6184,16081,2036,1779
202,546.7,6184,15799,2036,1779
203,546.6,6184,12287,2036,1779
204,546.7,6184,17409,2036,1779
205,545.4,6184,16223,2036,1779
206,545.5,6184,15319,2036,1779
207,543.6,6184,14271,2036,1779
208,545.0,6184,19497,2036,1779
209,551.9,6184,12287,2036,1779
210,543.8,6184,16343,2036,1779
211,556.9,6184,12287,2036,1779
212,547.2,6184,14333,2036,1779
213,544.0,6184,15357,2036,1779
214,543.9,6184,12287,2036,1779
215,545.3,6184,12287,2036,1779
216,544.4,6184,15259,2036,1779
217,543.5,6184,16103,2036,1779
218,545.6,6184,16451,2036,1779
219,546.5,6184,16409,2036,1779
220,551.9,6184,16107,2036,1779
221,543.0,6184,13239,2036,1779
222,544.8,6184,16035,2036,1779
223,543.7,6184,16373,2036,1779
224,544.6,6184,17413,2036,1779
225,544.5,6184,16385,2036,1779
226,546.1,6184,16325,2036,1779
227,547.2,6184,16421,2036,1779
228,549.5,6184,14071,2036,1779
229,544.6,6184,16281,2036,1779
230,549.9,6184,14687,2036,1779
231,543.6,6184,16425,2036,1779
232,542.9,6184,14189,2036,1779
233,544.6,6184,12287,2036,1779
234,543.4,6184,20291,2036,1779
235,548.7,6184,16657,2036,1779
236,546.8,6184,15295,2036,1779
237,549.9,6184,12287,2036,1779
238,543.6,6184,16457,2036,1779
239,545.8,6184,16223,2036,1779
240,545.3,6184,16905,2036,1779
241,546.2,6184,15967,2036,1779
242,548.0,6184,16063,2036,1779
243,552.4,6184,19937,2036,1779
244,543.0,6184,16901,2036,1779
245,548.9,6184,15807,2036,1779
246,547.5,6184,16383,2036,1779
247,544.9,6184,12287,2036,1779
248,542.8,6184,18563,2036,1779
249,550.6,6184,15789,2036,1779
250,546.7,6184,14235,2036,1779
251,547.3,6184,16423,2036,1779
252,549.6,6184,16641,2036,1779
253,544.7,6184,15863,2036,1779
254,544.9,6184,13823,2036,1779
255,543.7,6184,17417,2036,1779
