Dim,Runtime,Heap,Stack,Code,CodeLines
32,8.4,4264,12287,812,595
33,9.0,4328,12287,836,627
34,9.7,4328,17409,852,635
35,10.1,4328,15095,843,634
36,10.0,4328,17449,874,657
37,11.1,4328,16457,939,722
38,12.0,4328,16387,961,744
39,12.4,4328,16979,868,659
40,13.2,4328,16379,938,721
41,13.7,4328,14783,844,627
42,14.1,4328,15101,945,728
43,15.0,4328,16993,978,761
44,16.0,4328,15483,861,652
45,18.1,4328,16363,971,754
46,17.3,4328,16093,986,769
47,18.2,4520,13535,955,754
48,18.7,4328,15395,827,610
49,19.5,4392,15119,940,731
50,20.5,4392,16255,866,649
51,23.1,4392,17409,876,659
52,22.0,4392,15613,963,746
53,23.0,4392,14335,860,651
54,24.5,4392,16401,882,665
55,24.6,4584,16385,955,754
56,23.3,4392,15349,852,635
57,27.7,4392,16255,977,760
58,27.1,4392,12287,980,763
59,28.7,4648,16395,969,768
60,29.7,4392,18881,977,760
61,31.8,4648,12287,961,760
62,32.7,4648,16127,951,750
63,32.1,4392,16417,963,746
64,33.2,4392,19237,923,706
65,34.5,4456,16365,962,745
66,35.6,4456,12287,961,744
67,37.0,4712,12797,975,774
68,45.0,4456,16293,961,744
69,38.8,4456,12287,993,776
70,39.8,4456,12287,993,776
71,41.6,4712,12287,977,776
72,43.7,4712,15855,968,767
73,46.1,4776,16343,954,753
74,44.2,4456,16047,994,777
75,45.6,4456,14311,995,778
76,47.1,4456,19465,984,767
77,49.7,4776,16641,977,776
78,49.6,4456,15871,992,775
79,52.3,4776,16537,963,762
80,52.6,4456,12287,953,736
81,53.6,4520,20057,984,775
82,56.1,4840,15349,978,777
83,56.3,4520,19785,994,777
84,59.6,4840,16899,954,753
85,59.4,4840,15871,979,778
86,61.7,4520,18947,995,778
87,62.2,4840,16317,963,762
88,63.5,4840,16379,963,762
89,66.2,4520,17433,985,768
90,66.1,4520,16397,984,767
91,69.4,4904,14335,1001,800
92,69.9,4904,16127,985,784
93,73.1,4904,13311,989,788
94,72.9,4904,16335,985,784
95,73.7,4520,12287,991,782
96,76.2,4520,16993,985,768
97,86.4,4968,16187,975,774
98,78.4,4584,16127,985,768
99,80.5,4584,16785,995,778
100,82.3,4968,16125,999,798
101,85.5,4968,15839,999,798
102,87.8,4968,17189,983,782
103,90.6,4968,15053,999,798
104,89.0,4968,16381,983,782
105,89.3,4584,16385,995,778
106,92.5,5032,16127,983,782
107,95.4,5032,17577,983,782
108,98.1,5032,16189,999,798
109,105.5,5032,15871,1093,892
110,99.5,5032,15607,983,782
111,100.1,4584,13567,995,778
112,104.8,5032,16905,983,782
113,95.4,4648,16383,965,748
114,109.6,4648,14179,995,778
115,111.3,5096,17921,999,798
116,110.5,4648,12287,995,778
117,113.3,5096,17489,999,798
118,114.6,5096,16453,999,798
119,116.3,4648,19465,995,778
120,117.6,4648,12287,995,778
121,122.1,5160,18537,999,798
122,124.4,5160,12287,983,782
123,126.4,5160,16375,983,782
124,128.5,5160,17933,983,782
125,127.8,4648,16369,995,778
126,132.1,5160,14831,983,782
127,135.3,5160,16971,999,798
128,132.8,5160,12287,956,755
129,151.4,5224,16351,1147,946
130,141.6,5224,14683,999,798
131,143.2,5224,13197,983,782
132,144.1,5224,14789,975,774
133,160.5,5224,17413,1093,892
134,151.4,5224,15869,983,782
135,154.6,5224,19625,983,782
136,145.9,5224,17175,984,783
137,156.3,5288,16657,975,774
138,158.0,5288,16385,983,782
139,158.9,5288,16319,975,774
140,163.7,5288,15865,983,782
141,164.8,5288,12287,983,782
142,168.6,5288,15279,999,798
143,169.0,5288,12287,999,798
144,174.0,5288,19459,999,798
145,193.1,5352,18053,1077,876
146,178.8,5352,16267,983,782
147,179.5,5352,15615,999,798
148,182.6,5352,16387,999,798
149,197.4,5352,15007,1093,892
150,188.1,5352,16365,999,798
151,191.5,5352,12287,999,798
152,194.7,5352,17931,983,782
153,197.9,5416,16389,975,774
154,199.7,5416,15829,999,798
155,199.6,5416,16383,983,782
156,200.2,5416,16421,983,782
157,219.7,5416,16965,1093,892
158,206.1,5416,18689,983,782
159,227.3,5416,16125,1093,892
160,212.9,5416,14959,999,798
161,213.7,5480,12287,975,774
162,223.6,5480,16309,999,798
163,219.7,5480,13401,975,774
164,225.9,5480,16513,975,774
165,228.2,5480,16127,999,798
166,228.3,5480,15349,983,782
167,254.3,5480,16367,1093,892
168,234.5,5480,16239,983,782
169,235.0,5544,12287,975,774
170,240.4,5544,15231,999,798
171,276.6,5544,13039,1147,946
172,272.3,5544,16351,1147,946
173,252.4,5544,16449,975,774
174,254.2,5544,12287,983,782
175,252.0,5544,12287,999,798
176,256.0,5544,17453,983,782
177,258.4,5608,12287,999,798
178,286.6,5608,16643,1093,892
179,268.7,5608,15323,983,782
180,267.4,5608,12775,983,782
181,297.1,5608,15867,1077,876
182,274.4,5608,18643,999,798
183,276.5,5608,17441,983,782
184,307.0,5608,16095,1093,892
185,313.2,5672,13103,1093,892
186,290.7,5672,12287,983,782
187,312.5,5672,13311,1093,892
188,292.7,5672,15999,999,798
189,296.4,5672,12287,975,774
190,300.7,5672,16469,999,798
191,308.4,5672,16369,990,789
192,309.4,5672,17057,983,782
193,309.9,5736,17633,983,782
194,313.8,5736,16707,999,798
195,341.4,5736,15351,1093,892
196,347.9,5736,18449,1093,892
197,349.1,5736,16059,1093,892
198,327.3,5736,15031,999,798
199,335.6,5736,19217,983,782
200,335.7,5736,16357,983,782
201,360.3,5800,15835,1093,892
202,340.0,5800,12783,999,798
203,370.4,5800,18465,1093,892
204,333.5,5800,15263,984,783
205,350.1,5800,15735,983,782
206,352.8,5800,14587,999,798
