Dim,Runtime,Heap,Stack,Code,CodeLines
32,8.4,4264,14271,2724,2443
33,33.2,4392,15707,2832,2551
34,33.5,4392,16155,2832,2551
35,33.4,4392,13823,2832,2551
36,33.5,4392,13055,2832,2551
37,33.7,4392,17989,2832,2551
38,33.2,4392,16125,2832,2551
39,34.3,4392,16383,2832,2551
40,33.5,4392,15611,2832,2551
41,33.3,4392,16383,2832,2551
42,34.3,4392,16375,2832,2551
43,33.6,4392,13307,2832,2551
44,33.3,4392,16039,2832,2551
45,34.2,4392,15803,2832,2551
46,34.3,4392,15863,2832,2551
47,33.6,4392,14333,2832,2551
48,33.4,4392,19621,2832,2551
49,33.6,4392,16283,2832,2551
50,34.4,4392,12287,2832,2551
51,33.4,4392,16393,2832,2551
52,34.1,4392,16383,2832,2551
53,33.5,4392,17045,2832,2551
54,35.2,4392,16385,2832,2551
55,33.5,4392,15771,2832,2551
56,33.6,4392,15039,2832,2551
57,33.3,4392,16385,2832,2551
58,34.1,4392,12287,2832,2551
59,33.5,4392,16385,2832,2551
60,34.0,4392,16417,2832,2551
61,34.4,4392,14191,2832,2551
62,33.3,4392,18497,2832,2551
63,33.6,4392,18745,2832,2551
64,33.4,4392,14245,2832,2551
65,66.8,5864,12287,3331,3034
66,65.8,5864,15323,3331,3034
67,66.5,5864,18719,3331,3034
68,67.0,5864,16681,3331,3034
69,66.3,5864,17029,3331,3034
70,66.7,5864,16545,3331,3034
71,67.8,5864,14799,3331,3034
72,68.8,5864,15039,3331,3034
73,67.8,5864,16255,3331,3034
74,65.9,5864,16465,3331,3034
75,65.8,5864,14047,3331,3034
76,66.6,5864,15581,3331,3034
77,65.7,5864,19271,3331,3034
78,65.8,5864,12287,3331,3034
79,66.6,5864,16121,3331,3034
80,72.5,5864,16351,3331,3034
81,65.6,5864,15839,3331,3034
82,65.9,5864,15869,3331,3034
83,66.7,5864,16335,3331,3034
84,65.5,5864,12287,3331,3034
85,68.4,5864,16119,3331,3034
86,65.9,5864,12287,3331,3034
87,68.0,5864,16127,3331,3034
88,65.6,5864,14843,3331,3034
89,67.8,5864,16381,3331,3034
90,66.6,5864,16359,3331,3034
91,65.7,5864,15101,3331,3034
92,71.4,5864,12287,3331,3034
93,67.4,5864,16475,3331,3034
94,66.7,5864,17415,3331,3034
95,67.8,5864,13723,3331,3034
96,67.9,5864,12287,3331,3034
97,65.4,5864,12787,3331,3034
98,65.8,5864,16349,3331,3034
99,65.8,5864,13181,3331,3034
100,65.7,5864,16351,3331,3034
101,65.5,5864,12287,3331,3034
102,65.4,5864,14239,3331,3034
103,67.3,5864,14335,3331,3034
104,65.8,5864,17687,3331,3034
105,70.3,5864,13679,3331,3034
106,69.2,5864,16389,3331,3034
107,65.7,5864,12287,3331,3034
108,71.4,5864,14951,3331,3034
109,67.9,5864,16251,3331,3034
110,66.6,5864,12287,3331,3034
111,66.6,5864,16393,3331,3034
112,65.7,5864,16921,3331,3034
113,66.0,5864,12287,3331,3034
114,66.3,5864,12287,3331,3034
115,70.7,5864,12287,3331,3034
116,65.7,5864,16395,3331,3034
117,65.4,5864,12287,3331,3034
118,65.7,5864,13819,3331,3034
119,67.5,5864,16117,3331,3034
120,66.6,5864,12287,3331,3034
121,65.8,5864,15647,3331,3034
122,65.9,5864,16617,3331,3034
123,66.3,5864,14271,3331,3034
124,67.8,5864,18471,3331,3034
125,65.4,5864,12287,3331,3034
126,65.6,5864,14143,3331,3034
127,66.8,5864,16125,3331,3034
128,65.8,5864,13049,3331,3034
129,142.2,8936,16285,4487,4190
130,141.0,8936,14319,4487,4190
131,139.1,8936,14009,4487,4190
132,139.1,8936,16221,4487,4190
133,138.9,8936,16191,4487,4190
134,138.6,8936,16769,4487,4190
135,141.4,8936,16351,4487,4190
136,140.6,8936,12287,4487,4190
137,144.4,8936,19527,4487,4190
138,139.5,8936,14065,4487,4190
139,142.2,8936,19985,4487,4190
140,141.5,8936,16385,4487,4190
141,139.8,8936,18497,4487,4190
142,139.8,8936,14975,4487,4190
143,139.6,8936,15551,4487,4190
144,142.0,8936,12287,4487,4190
145,140.1,8936,18689,4487,4190
146,140.6,8936,12287,4487,4190
147,139.0,8936,12287,4487,4190
148,142.0,8936,16593,4487,4190
149,141.2,8936,15567,4487,4190
150,138.7,8936,19857,4487,4190
151,141.1,8936,15099,4487,4190
152,145.4,8936,16355,4487,4190
