Dim,Runtime,Heap,Stack,Code,CodeLines
32,809.5,32824,16553,1441,1036
33,963.6,32824,16777215,1537,1068
34,581.5,32824,16777215,1537,1068
35,1122.1,32824,16777215,1537,1068
36,605.2,32824,16777215,1537,1068
37,438.7,32824,16777215,1537,1068
38,487.9,32824,16777215,1537,1068
39,1423.0,32824,16777215,1537,1068
40,726.3,32824,16777215,1537,1068
41,2155.2,32824,16777215,1537,1068
42,434.2,32824,16777215,1537,1068
43,919.2,32824,16777215,1537,1068
44,797.9,32824,16777215,1537,1068
45,928.5,32824,16777215,1537,1068
46,517.7,32824,16777215,1537,1068
47,2261.5,32824,16319,1489,1020
48,825.1,32824,16777215,1537,1068
49,499.5,32824,16777215,1537,1004
50,604.8,32824,16777215,1537,1004
51,1376.4,32824,16777215,1537,1004
52,643.4,32824,16777215,1537,1004
53,521.0,32824,16777215,1537,1004
54,531.9,32824,16777215,1537,1004
55,1099.0,32824,16777215,1553,1036
56,2562.9,32824,16777215,1537,1004
57,528.3,32824,16777215,1537,1004
58,596.5,32824,16777215,1537,1004
59,596.8,32824,16777215,1633,1100
60,1396.2,32824,16777215,1537,1004
61,1269.0,32824,16777215,1633,1100
62,480.9,32824,16777215,1633,1100
63,419.0,32824,16777215,1537,1004
64,741.2,32824,16777215,1537,1004
65,464.8,32824,16777215,1655,1058
66,895.8,32824,16777215,1655,1058
67,453.7,32824,16381,1927,1042
68,1225.0,32824,16777215,1655,1058
69,1041.5,32824,16777215,1655,1058
70,924.5,32824,16777215,1655,1058
71,444.1,32824,13311,1927,1042
72,1195.7,32824,12287,1927,1042
73,667.7,32824,16777215,1783,1186
74,1190.5,32824,16777215,1655,1058
75,480.1,32824,16777215,1655,1058
76,1925.3,32824,16777215,1655,1058
77,1356.3,32824,16777215,1783,1186
78,437.4,32824,16777215,1655,1058
79,815.3,32824,16777215,1783,1186
80,575.5,32824,16777215,1655,1058
81,1006.9,32824,16777215,1719,1058
82,433.7,32824,13225,2071,1058
83,878.6,32824,16777215,1719,1058
84,430.5,32824,15359,2071,1058
85,441.2,32824,16931,2071,1058
86,561.0,32824,16777215,1719,1058
87,520.7,32824,16977,2071,1058
88,448.4,32824,13277,2071,1058
89,439.1,32824,16777215,1719,1058
90,435.8,32824,16777215,1719,1058
91,577.0,32824,16777215,1847,1186
92,504.4,32824,16777215,1847,1186
93,583.8,32824,16777215,1847,1186
94,533.8,32824,16777215,1847,1186
95,474.3,32824,16777215,1719,1058
96,519.9,32824,16777215,1719,1058
97,479.6,32824,16777,2199,1058
98,887.6,32824,16777215,2327,1122
99,423.9,32824,16777215,2327,1122
100,445.2,32824,15215,2199,1058
101,482.3,32824,14127,2199,1058
102,653.8,32824,15485,2199,1058
103,572.1,32824,14711,2199,1058
104,584.4,32824,12287,2199,1058
105,507.5,32824,16777215,2327,1122
106,505.3,32824,12287,2263,1058
107,578.6,32824,18065,2263,1058
108,1201.5,32824,15667,2263,1058
109,445.4,32824,12287,2263,1058
110,1148.7,32824,14911,2263,1058
111,1518.0,32824,16777215,2327,1122
112,446.9,32824,14067,2263,1058
113,424.5,32824,16777215,2375,1074
114,678.4,32824,16777215,2375,1074
115,445.1,32824,16777215,1959,1186
116,624.7,32824,16777215,2375,1074
117,472.3,32824,16777215,1959,1186
118,537.9,32824,16777215,1959,1186
119,3442.0,32824,16777215,2375,1074
120,661.9,32824,16777215,2375,1074
121,537.7,32824,14207,2295,994
122,2230.8,32824,16897,2295,994
123,903.0,32824,15823,2295,994
124,440.8,32824,19995,2295,994
125,789.1,32824,16777215,2375,1074
126,509.7,32824,15359,2295,994
127,609.3,32824,14189,2295,994
128,515.3,32824,12287,2295,994
129,471.5,32824,15359,2423,1058
130,693.6,32824,12287,2423,1058
131,450.0,32824,12287,2423,1058
132,441.1,32824,15225,2423,1058
