Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2.9,128,5904,2122,560
9,PASS,2.3,160,5730,2122,560
10,PASS,3.1,176,7230,2122,560
11,PASS,3.8,192,10637,2122,560
12,PASS,4.2,160,9632,2122,560
13,PASS,4.5,240,14697,2122,560
14,PASS,4.3,208,12334,2122,560
15,PASS,4.4,208,11816,2122,560
16,PASS,5.7,192,15392,2122,560
17,PASS,5.5,280,15636,2122,560
18,PASS,5.7,240,15636,2122,560
19,PASS,6.3,296,19080,2122,560
20,PASS,6.9,256,19080,2122,560
21,PASS,6.5,288,19894,2122,560
22,PASS,8.1,304,26526,2122,560
23,PASS,8.8,312,24724,2122,560
24,PASS,8.7,272,24724,2122,560
25,PASS,7.8,320,23478,2122,560
26,PASS,10.3,352,35614,2122,560
27,PASS,8.1,304,25215,2122,560
28,PASS,10.5,320,31184,2122,560
29,PASS,9.5,392,30672,2122,560
30,PASS,9.9,352,30672,2122,560
31,PASS,12.7,376,38032,2122,560
32,PASS,12.8,336,38032,2122,560
33,PASS,12.0,400,42026,2122,560
34,PASS,11.0,424,38500,2122,560
35,PASS,11.2,384,38500,2122,560
36,PASS,13.0,368,39576,2122,560
37,PASS,15.7,528,56080,2122,560
38,PASS,15.8,488,56080,2122,560
39,PASS,15.7,448,56080,2122,560
40,PASS,15.0,416,47372,2122,560
41,PASS,14.8,488,49692,2122,560
42,PASS,14.9,448,49692,2122,560
43,PASS,18.4,504,63360,2122,560
44,PASS,18.9,464,63360,2122,560
45,PASS,15.0,480,49015,2122,560
46,PASS,19.0,544,60428,2122,560
47,PASS,19.5,504,60428,2122,560
48,PASS,19.9,464,60428,2122,560
49,PASS,17.2,512,61754,2122,560
50,PASS,16.9,512,58836,2122,560
51,PASS,24.8,584,83432,2122,560
52,PASS,24.5,544,83432,2122,560
53,PASS,19.2,568,63090,2122,560
54,PASS,18.9,528,63090,2122,560
55,PASS,21.5,560,78504,2122,560
56,PASS,22.9,544,75332,2122,560
57,PASS,23.3,696,75296,2122,560
58,PASS,22.1,656,75296,2122,560
59,PASS,22.7,616,75296,2122,560
60,PASS,22.7,576,75296,2122,560
61,PASS,22.8,688,78791,2122,560
62,PASS,22.7,648,78791,2122,560
63,PASS,21.8,608,78791,2122,560
64,PASS,28.5,592,90688,2122,560
65,PASS,27.3,672,103486,2122,560
66,PASS,28.3,656,99684,2122,560
67,PASS,26.9,760,93680,2122,560
68,PASS,25.9,720,93680,2122,560
69,PASS,26.8,712,93680,2122,560
70,PASS,26.2,672,93680,2122,560
71,PASS,29.0,696,95760,2122,560
72,PASS,29.4,656,95760,2122,560
73,PASS,26.0,784,93371,2122,560
74,PASS,28.3,744,93371,2122,560
75,PASS,25.5,704,93371,2122,560
76,PASS,33.5,760,122286,2122,560
77,PASS,33.9,752,122286,2122,560
78,PASS,35.7,768,130656,2122,560
79,PASS,34.9,776,113188,2122,560
80,PASS,35.6,736,113188,2122,560
81,PASS,29.4,752,100080,2122,560
82,PASS,35.0,848,118984,2122,560
83,PASS,34.2,808,118984,2122,560
84,PASS,34.4,768,118984,2122,560
85,PASS,43.0,936,147188,2122,560
86,PASS,45.9,896,147188,2122,560
87,PASS,43.6,856,147188,2122,560
88,PASS,42.7,816,147188,2122,560
89,PASS,33.5,872,119242,2122,560
90,PASS,34.4,832,119242,2122,560
91,PASS,43.9,864,159524,2122,560
92,PASS,45.0,976,142924,2122,560
93,PASS,45.3,968,142924,2122,560
94,PASS,44.0,928,142924,2122,560
95,PASS,43.7,888,142924,2122,560
96,PASS,44.5,848,142924,2122,560
97,PASS,40.4,936,146964,2122,560
98,PASS,40.4,896,146964,2122,560
99,PASS,41.8,912,156271,2122,560
100,PASS,40.1,896,141104,2122,560
101,PASS,55.3,1080,191084,2122,560
102,PASS,53.2,1040,191084,2122,560
103,PASS,53.5,1000,191084,2122,560
104,PASS,56.6,960,191084,2122,560
105,PASS,41.0,960,147727,2122,560
106,PASS,44.5,1024,151320,2122,560
107,PASS,44.4,984,151320,2122,560
108,PASS,44.4,944,151320,2122,560
109,PASS,52.5,1048,183288,2122,560
110,PASS,49.4,1008,183288,2122,560
111,PASS,52.1,1032,176572,2122,560
112,PASS,53.5,992,176572,2122,560
113,PASS,59.0,1216,203975,2122,560
114,PASS,55.4,1176,203975,2122,560
115,PASS,54.0,1136,203975,2122,560
116,PASS,56.1,1096,203975,2122,560
117,PASS,54.8,1088,203975,2122,560
118,PASS,51.8,1136,178416,2122,560
119,PASS,53.0,1096,178416,2122,560
120,PASS,52.8,1056,178416,2122,560
121,PASS,61.1,1104,231762,2122,560
122,PASS,46.8,1208,174891,2122,560
123,PASS,47.6,1168,174891,2122,560
124,PASS,46.5,1128,174891,2122,560
125,PASS,47.0,1120,174891,2122,560
126,PASS,51.7,1120,187346,2122,560
127,PASS,65.8,1144,210800,2122,560
128,PASS,69.0,1104,210800,2122,560
129,PASS,65.6,1224,238052,2122,560
130,PASS,63.9,1184,238052,2122,560
131,PASS,64.4,1208,230264,2122,560
132,PASS,66.2,1168,230264,2122,560
133,PASS,53.0,1264,188026,2122,560
134,PASS,52.5,1224,188026,2122,560
135,PASS,53.4,1184,188026,2122,560
136,PASS,61.6,1344,220232,2122,560
137,PASS,61.8,1336,220232,2122,560
138,PASS,63.3,1296,220232,2122,560
139,PASS,62.1,1256,220232,2122,560
140,PASS,62.1,1216,220232,2122,560
141,PASS,78.8,1360,297496,2122,560
142,PASS,79.0,1320,297496,2122,560
143,PASS,77.5,1280,297496,2122,560
144,PASS,68.5,1232,224784,2122,560
145,PASS,61.2,1360,230607,2122,560
146,PASS,65.5,1320,230607,2122,560
147,PASS,62.7,1280,230607,2122,560
