Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2.2,48,4668,1730,480
9,PASS,1.8,48,4432,1730,480
10,PASS,2.3,64,5584,1730,480
11,PASS,2.7,72,7540,1730,480
12,PASS,2.8,48,7540,1730,480
13,PASS,2.6,112,9036,1730,480
14,PASS,2.7,88,9036,1730,480
15,PASS,2.7,64,9036,1730,480
16,PASS,4.1,48,12104,1730,480
17,PASS,3.5,104,12132,1730,480
18,PASS,3.8,64,12132,1730,480
19,PASS,4.1,120,14772,1730,480
20,PASS,4.2,80,14772,1730,480
21,PASS,5.6,184,19312,1730,480
22,PASS,5.5,144,19312,1730,480
23,PASS,5.5,104,19312,1730,480
24,PASS,5.7,64,19312,1730,480
25,PASS,3.9,80,17800,1730,480
26,PASS,4.7,104,19392,1730,480
27,PASS,4.9,64,19392,1730,480
28,PASS,5.8,160,23596,1730,480
29,PASS,5.7,120,23596,1730,480
30,PASS,5.7,80,23596,1730,480
31,PASS,8.2,104,29812,1730,480
32,PASS,8.4,64,29812,1730,480
33,PASS,7.5,184,30728,1730,480
34,PASS,7.5,144,30728,1730,480
35,PASS,7.8,104,30728,1730,480
36,PASS,7.9,64,30728,1730,480
37,PASS,9.0,200,36704,1730,480
38,PASS,8.8,160,36704,1730,480
39,PASS,9.0,120,36704,1730,480
40,PASS,8.9,80,36704,1730,480
41,PASS,8.0,240,37452,1730,480
42,PASS,7.9,200,37452,1730,480
43,PASS,8.0,160,37452,1730,480
44,PASS,7.9,120,37452,1730,480
45,PASS,8.0,80,37452,1730,480
46,PASS,12.0,144,47132,1730,480
47,PASS,13.0,104,47132,1730,480
48,PASS,12.1,64,47132,1730,480
49,PASS,9.5,120,44964,1730,480
50,PASS,9.7,80,44964,1730,480
51,PASS,11.0,184,48704,1730,480
52,PASS,11.8,144,48704,1730,480
53,PASS,11.0,104,48704,1730,480
54,PASS,11.2,64,48704,1730,480
55,PASS,13.0,280,58072,1730,480
56,PASS,12.9,240,58072,1730,480
57,PASS,12.9,200,58072,1730,480
58,PASS,13.1,160,58072,1730,480
59,PASS,13.0,120,58072,1730,480
60,PASS,13.2,80,58072,1730,480
61,PASS,18.0,184,70944,1730,480
62,PASS,18.4,144,70944,1730,480
63,PASS,18.4,104,70944,1730,480
64,PASS,18.1,64,70944,1730,480
65,PASS,17.4,344,74356,1730,480
66,PASS,17.1,304,74356,1730,480
67,PASS,17.2,264,74356,1730,480
68,PASS,17.3,224,74356,1730,480
69,PASS,17.2,184,74356,1730,480
70,PASS,17.4,144,74356,1730,480
71,PASS,17.4,104,74356,1730,480
72,PASS,17.4,64,74356,1730,480
73,PASS,13.7,160,70984,1730,480
74,PASS,13.8,120,70984,1730,480
75,PASS,14.3,80,70984,1730,480
76,PASS,19.9,240,87724,1730,480
77,PASS,19.8,200,87724,1730,480
78,PASS,20.1,160,87724,1730,480
79,PASS,20.1,120,87724,1730,480
80,PASS,20.3,80,87724,1730,480
81,PASS,20.3,64,76784,1730,480
82,PASS,19.4,400,91544,1730,480
83,PASS,18.8,360,91544,1730,480
84,PASS,18.9,320,91544,1730,480
85,PASS,18.6,280,91544,1730,480
86,PASS,19.5,240,91544,1730,480
87,PASS,18.9,200,91544,1730,480
88,PASS,18.9,160,91544,1730,480
89,PASS,19.0,120,91544,1730,480
90,PASS,18.9,80,91544,1730,480
91,PASS,27.2,264,111368,1730,480
92,PASS,26.8,224,111368,1730,480
93,PASS,26.2,184,111368,1730,480
94,PASS,26.7,144,111368,1730,480
95,PASS,27.2,104,111368,1730,480
96,PASS,28.6,64,111368,1730,480
97,PASS,21.7,200,108248,1730,480
98,PASS,22.2,160,108248,1730,480
99,PASS,22.9,120,108248,1730,480
100,PASS,22.5,80,108248,1730,480
101,PASS,25.4,344,117004,1730,480
102,PASS,26.3,304,117004,1730,480
103,PASS,26.0,264,117004,1730,480
104,PASS,25.5,224,117004,1730,480
105,PASS,26.5,184,117004,1730,480
106,PASS,25.9,144,117004,1730,480
107,PASS,25.8,104,117004,1730,480
108,PASS,26.0,64,117004,1730,480
109,PASS,29.5,520,137780,1730,480
110,PASS,31.8,480,137780,1730,480
111,PASS,30.0,440,137780,1730,480
112,PASS,30.4,400,137780,1730,480
113,PASS,29.4,360,137780,1730,480
114,PASS,29.3,320,137780,1730,480
115,PASS,29.9,280,137780,1730,480
116,PASS,30.1,240,137780,1730,480
117,PASS,29.3,200,137780,1730,480
118,PASS,30.0,160,137780,1730,480
119,PASS,29.2,120,137780,1730,480
120,PASS,29.5,80,137780,1730,480
121,PASS,24.3,240,132324,1730,480
122,PASS,23.4,200,132324,1730,480
123,PASS,24.0,160,132324,1730,480
124,PASS,23.5,120,132324,1730,480
125,PASS,23.5,80,132324,1730,480
126,PASS,39.6,144,164684,1730,480
127,PASS,40.1,104,164684,1730,480
128,PASS,39.8,64,164684,1730,480
129,PASS,27.8,320,143612,1730,480
130,PASS,27.9,280,143612,1730,480
131,PASS,27.8,240,143612,1730,480
132,PASS,27.8,200,143612,1730,480
133,PASS,27.9,160,143612,1730,480
134,PASS,27.7,120,143612,1730,480
135,PASS,28.0,80,143612,1730,480
136,PASS,40.2,384,174528,1730,480
137,PASS,39.4,344,174528,1730,480
138,PASS,39.3,304,174528,1730,480
139,PASS,39.4,264,174528,1730,480
140,PASS,40.0,224,174528,1730,480
141,PASS,40.0,184,174528,1730,480
142,PASS,40.2,144,174528,1730,480
143,PASS,40.0,104,174528,1730,480
144,PASS,41.0,64,174528,1730,480
145,PASS,33.0,280,169888,1730,480
146,PASS,33.6,240,169888,1730,480
147,PASS,32.6,200,169888,1730,480
148,PASS,32.7,160,169888,1730,480
149,PASS,32.1,120,169888,1730,480
150,PASS,32.5,80,169888,1730,480
151,PASS,45.4,440,204120,1730,480
152,PASS,45.6,400,204120,1730,480
153,PASS,45.1,360,204120,1730,480
154,PASS,45.7,320,204120,1730,480
155,PASS,45.2,280,204120,1730,480
156,PASS,45.8,240,204120,1730,480
157,PASS,45.7,200,204120,1730,480
158,PASS,45.3,160,204120,1730,480
159,PASS,45.1,120,204120,1730,480
