Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2.3,48,4668,1730,480
9,PASS,4.0,48,4432,1730,480
10,PASS,2.1,64,5584,1730,480
11,PASS,2.9,72,7540,1730,480
12,PASS,3.0,48,7540,1730,480
13,PASS,2.9,88,9448,1730,480
14,PASS,2.9,64,9448,1730,480
15,PASS,2.9,64,9036,1730,480
16,PASS,4.3,48,12104,1730,480
17,PASS,3.8,104,12132,1730,480
18,PASS,3.8,64,12132,1730,480
19,PASS,4.1,120,14772,1730,480
20,PASS,4.0,80,14772,1730,480
21,PASS,3.6,80,15128,1730,480
22,PASS,5.5,144,19312,1730,480
23,PASS,7.9,104,19312,1730,480
24,PASS,5.7,64,19312,1730,480
25,PASS,4.1,80,17800,1730,480
26,PASS,4.7,104,19392,1730,480
27,PASS,5.0,64,19392,1730,480
28,PASS,6.0,80,23988,1730,480
29,PASS,5.5,120,23596,1730,480
30,PASS,5.8,80,23596,1730,480
31,PASS,8.4,104,29812,1730,480
32,PASS,8.4,64,29812,1730,480
33,PASS,5.8,160,29092,1730,480
34,PASS,6.5,120,29092,1730,480
35,PASS,5.8,80,29092,1730,480
36,PASS,11.0,64,30728,1730,480
37,PASS,8.8,200,36704,1730,480
38,PASS,8.7,160,36704,1730,480
39,PASS,8.9,120,36704,1730,480
40,PASS,9.1,80,36704,1730,480
41,PASS,8.3,120,38036,1730,480
42,PASS,8.3,80,38036,1730,480
43,PASS,7.8,160,37452,1730,480
44,PASS,7.8,120,37452,1730,480
45,PASS,8.2,80,37452,1730,480
46,PASS,11.9,144,47132,1730,480
47,PASS,12.4,104,47132,1730,480
48,PASS,12.1,64,47132,1730,480
49,PASS,8.7,80,46528,1730,480
50,PASS,9.3,80,44964,1730,480
51,PASS,11.0,184,48704,1730,480
52,PASS,11.0,144,48704,1730,480
53,PASS,10.9,104,48704,1730,480
54,PASS,11.1,64,48704,1730,480
55,PASS,13.7,120,58064,1730,480
56,PASS,13.0,80,58064,1730,480
57,PASS,13.0,200,58072,1730,480
58,PASS,13.0,160,58072,1730,480
59,PASS,13.1,120,58072,1730,480
60,PASS,13.0,80,58072,1730,480
61,PASS,11.7,160,59976,1730,480
62,PASS,11.6,120,59976,1730,480
63,PASS,11.7,80,59976,1730,480
64,PASS,18.0,64,70944,1730,480
65,PASS,13.9,280,71340,1730,480
66,PASS,13.6,240,71340,1730,480
67,PASS,14.7,200,71340,1730,480
68,PASS,13.9,160,71340,1730,480
69,PASS,13.8,120,71340,1730,480
70,PASS,14.0,80,71340,1730,480
71,PASS,17.2,104,74356,1730,480
72,PASS,17.8,64,74356,1730,480
73,PASS,13.7,160,70984,1730,480
74,PASS,13.4,120,70984,1730,480
75,PASS,13.6,80,70984,1730,480
76,PASS,19.8,240,87724,1730,480
77,PASS,20.7,200,87724,1730,480
78,PASS,20.1,160,87724,1730,480
79,PASS,20.0,120,87724,1730,480
80,PASS,20.2,80,87724,1730,480
81,PASS,16.2,64,76784,1730,480
82,PASS,19.3,160,91368,1730,480
83,PASS,19.1,120,91368,1730,480
84,PASS,19.8,80,91368,1730,480
85,PASS,18.7,280,91544,1730,480
86,PASS,18.9,240,91544,1730,480
87,PASS,19.4,200,91544,1730,480
88,PASS,19.5,160,91544,1730,480
89,PASS,19.0,120,91544,1730,480
90,PASS,18.8,80,91544,1730,480
91,PASS,26.9,264,111368,1730,480
92,PASS,29.9,224,111368,1730,480
93,PASS,26.6,184,111368,1730,480
94,PASS,27.7,144,111368,1730,480
95,PASS,26.4,104,111368,1730,480
96,PASS,26.9,64,111368,1730,480
97,PASS,20.7,120,111588,1730,480
98,PASS,20.7,80,111588,1730,480
99,PASS,21.8,120,108248,1730,480
100,PASS,21.9,80,108248,1730,480
101,PASS,20.5,240,112004,1730,480
102,PASS,20.5,200,112004,1730,480
103,PASS,23.4,160,112004,1730,480
104,PASS,21.3,120,112004,1730,480
105,PASS,20.9,80,112004,1730,480
106,PASS,26.2,144,117004,1730,480
107,PASS,25.7,104,117004,1730,480
108,PASS,26.2,64,117004,1730,480
109,PASS,30.1,200,136252,1730,480
110,PASS,32.1,160,136252,1730,480
111,PASS,34.6,120,136252,1730,480
112,PASS,29.7,80,136252,1730,480
113,PASS,29.7,360,137780,1730,480
114,PASS,29.8,320,137780,1730,480
115,PASS,29.8,280,137780,1730,480
116,PASS,29.7,240,137780,1730,480
117,PASS,29.7,200,137780,1730,480
118,PASS,29.4,160,137780,1730,480
119,PASS,29.7,120,137780,1730,480
120,PASS,29.6,80,137780,1730,480
121,PASS,23.2,240,132324,1730,480
122,PASS,23.5,200,132324,1730,480
123,PASS,23.4,160,132324,1730,480
124,PASS,23.6,120,132324,1730,480
125,PASS,23.5,80,132324,1730,480
126,PASS,28.5,80,143312,1730,480
127,PASS,39.7,104,164684,1730,480
128,PASS,40.1,64,164684,1730,480
129,PASS,27.4,320,143612,1730,480
